disease,symptom
alcoholic hepatitis,swelling_of_stomach
alcoholic hepatitis,distention_of_abdomen
alcoholic hepatitis,history_of_alcohol_consumption
alcoholic hepatitis,fluid_overload
tuberculosis,chills
tuberculosis,vomiting
tuberculosis,fatigue
tuberculosis,weight_loss
tuberculosis,cough
tuberculosis,high_fever
tuberculosis,breathlessness
tuberculosis,sweating
tuberculosis,loss_of_appetite
tuberculosis,mild_fever
tuberculosis,yellowing_of_eyes
tuberculosis,swelled_lymph_nodes
tuberculosis,malaise
tuberculosis,phlegm
tuberculosis,chest_pain
tuberculosis,blood_in_sputum
common cold,continuous_sneezing
common cold,chills
common cold,fatigue
common cold,cough
common cold,high_fever
common cold,headache
common cold,swelled_lymph_nodes
common cold,malaise
common cold,phlegm
common cold,throat_irritation
common cold,redness_of_eyes
common cold,sinus_pressure
common cold,runny_nose
common cold,congestion
common cold,chest_pain
common cold,loss_of_smell
common cold,muscle_pain
pneumonia,chills
pneumonia,fatigue
pneumonia,cough
pneumonia,high_fever
pneumonia,breathlessness
pneumonia,sweating
pneumonia,malaise
pneumonia,chest_pain
pneumonia,fast_heart_rate
pneumonia,rusty_sputum
pneumonia,phlegm
dimorphic hemmorhoids(piles),constipation
dimorphic hemmorhoids(piles),pain_during_bowel_movements
dimorphic hemmorhoids(piles),pain_in_anal_region
dimorphic hemmorhoids(piles),bloody_stool
dimorphic hemmorhoids(piles),irritation_in_anus
heart attack,vomiting
heart attack,breathlessness
heart attack,sweating
heart attack,chest_pain
varicose veins,fatigue
varicose veins,cramps
varicose veins,bruising
varicose veins,obesity
varicose veins,swollen_legs
varicose veins,swollen_blood_vessels
varicose veins,prominent_veins_on_calf
hypothyroidism,fatigue
hypothyroidism,weight_gain
hypothyroidism,cold_hands_and_feets
hypothyroidism,mood_swings
hypothyroidism,lethargy
hypothyroidism,dizziness
hypothyroidism,puffy_face_and_eyes
hypothyroidism,enlarged_thyroid
hypothyroidism,brittle_nails
hypothyroidism,swollen_extremeties
hypothyroidism,depression
hypothyroidism,irritability
hypothyroidism,abnormal_menstruation
hyperthyroidism,fatigue
hyperthyroidism,mood_swings
hyperthyroidism,weight_loss
hyperthyroidism,restlessness
hyperthyroidism,sweating
hyperthyroidism,diarrhoea
hyperthyroidism,fast_heart_rate
hyperthyroidism,excessive_hunger
hyperthyroidism,muscle_weakness
hyperthyroidism,irritability
hyperthyroidism,abnormal_menstruation
hypoglycemia,vomiting
hypoglycemia,fatigue
hypoglycemia,anxiety
hypoglycemia,sweating
hypoglycemia,headache
hypoglycemia,nausea
hypoglycemia,blurred_and_distorted_vision
hypoglycemia,excessive_hunger
hypoglycemia,slurred_speech
hypoglycemia,irritability
hypoglycemia,palpitations
hypoglycemia,drying_and_tingling_lips
osteoarthristis,joint_pain
osteoarthristis,neck_pain
osteoarthristis,knee_pain
osteoarthristis,hip_joint_pain
osteoarthristis,swelling_joints
osteoarthristis,painful_walking
arthritis,muscle_weakness
arthritis,stiff_neck
arthritis,swelling_joints
arthritis,movement_stiffness
arthritis,painful_walking
(vertigo) paroymsal positional vertigo,vomiting
(vertigo) paroymsal positional vertigo,headache
(vertigo) paroymsal positional vertigo,nausea
(vertigo) paroymsal positional vertigo,spinning_movements
(vertigo) paroymsal positional vertigo,loss_of_balance
(vertigo) paroymsal positional vertigo,unsteadiness
acne,skin_rash
acne,pus_filled_pimples
acne,blackheads
acne,scurring
urinary tract infection,burning_micturition
urinary tract infection,bladder_discomfort
urinary tract infection,foul_smell_of urine
urinary tract infection,continuous_feel_of_urine
psoriasis,skin_rash
psoriasis,joint_pain
psoriasis,skin_peeling
psoriasis,silver_like_dusting
psoriasis,small_dents_in_nails
psoriasis,inflammatory_nails
impetigo,skin_rash
impetigo,high_fever
impetigo,blister
impetigo,red_sore_around_nose
impetigo,yellow_crust_ooze
